tracks/artist,tracks/album,tracks/track,tracks/uri,albums/artist,albums/album,albums/uri,artists/name,artists/uri,other
Gunna,Drip or Drown 2,Who You Foolin,spotify:track:7KVPsVMOK3NL7subwJ0dZj,,,,,,
Mustard,Perfect Ten,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",spotify:track:2zjGJ0dChMR0KxBZS15aqo,,,,,,
Ali Gatie,Welcome Back (feat. Alessia Cara),Welcome Back (feat. Alessia Cara),spotify:track:50I4Px0ip8mYOT2TwUZT8k,,,,,,
Iyaz,Replay,Replay,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,,,,,,
NAV,RECKLESS,EAT (feat. Gunna),spotify:track:4JjerUTEnRGocSRT74VsaH,,,,,,
NAV,RECKLESS,Hold Your Hand,spotify:track:2gNIhXbE588DkW7Za7ruax,,,,,,
Bryson Tiller,Inhale,Inhale,spotify:track:3Xa0sbyAtaEYYl2qRGnWQb,,,,,,
J. Cole,4 Your Eyez Only,Immortal,spotify:track:6AGON2BGdPmPMJGiiNuuwl,,,,,,
convolk,whatever it takes,whatever it takes,spotify:track:5FkOlv0W1nBqs3mgbksZa4,,,,,,
D. Savage,How Does It Feel,How Does It Feel,spotify:track:13E2LxjLkusP9TqbSTGTIz,,,,,,
6 Dogs,Guccy Armor,Guccy Armor,spotify:track:23g3uKdnXOcB0fk5zt9L6y,,,,,,
"Tyler, The Creator",IGOR,EARFQUAKE,spotify:track:5hVghJ4KaYES3BFUATCYn0,,,,,,
Juice WRLD,Goodbye & Good Riddance,I'm Still,spotify:track:26ky62toC9D5LGLMvpVQxD,,,,,,
A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga),Startender (feat. Offset and Tyga),spotify:track:6uSSupG4TMu3vW8QgynAB6,,,,,,
Young Thug,So Much Fun,Lil Baby,spotify:track:1MGWgLxUXDodD8Tw8TFppN,,,,,,
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),Chill Bill (feat. J. Davi$ & Spooks),spotify:track:5uDASfU19gDxSjW8cnCaBp,,,,,,
iann dior,Industry Plant,Darkside,spotify:track:6IxHk0uFSBTwTiNDsWfqIv,,,,,,
Lil Uzi Vert,Lil Uzi Vert vs. The World,Money Longer,spotify:track:0B8QzDH7YWih85V5SEMnyJ,,,,,,
Jay Critch,Fashion (feat. Rich The Kid),Fashion (feat. Rich The Kid),spotify:track:4EDmwV0cTLJ31s9sLQ1x2p,,,,,,
O.T. Genasis,Everybody Mad,Everybody Mad,spotify:track:5R443dM3IGHeWtVuro7DQA,,,,,,
Juice WRLD,Legends Never Die,Stay High,spotify:track:21CkzgKCBCq5V4XKjiGSIj,,,,,,
88GLAM,88GLAM RELOADED,Bali,spotify:track:4y5tKWeAUcaFE6O8Fa8XsY,,,,,,
Future,HNDRXX,Incredible,spotify:track:3IJPE9ICRq5PxVZxdv1sEv,,,,,,
The Weeknd,Save Your Tears,Save Your Tears (with Ariana Grande) (Remix),spotify:track:37BZB0z9T8Xu7U3e65qxFy,,,,,,
Kodak Black,ZEZE (feat. Travis Scott & Offset),ZEZE (feat. Travis Scott & Offset),spotify:track:7l3E7lcozEodtVsSTCkcaA,,,,,,
Kanye West,Yeezus,Bound 2,spotify:track:3sNVsP50132BTNlImLx70i,,,,,,
Post Malone,Stoney,I Fall Apart,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,,,,,,
21 Savage,i am > i was,letter 2 my momma,spotify:track:4y66YZn8Bopcsumft1r39M,,,,,,
A Boogie Wit da Hoodie,Artist,Still Think About You,spotify:track:2FTeQQ5Rg9tBpgpTF5mnhE,,,,,,
NAV,Bad Habits,To My Grave,spotify:track:0iIUmsrVL2sgGnX33oDsC7,,,,,,
$NOT,- TRAGEDY +,GOSHA,spotify:track:0j8ppsOOawdPCJnSTcXgOy,,,,,,
The Weeknd,"My Dear Melancholy,",Try Me,spotify:track:4rv1ww0dUwFZcDVPqhcOcX,,,,,,
"Tyler, The Creator",IGOR,RUNNING OUT OF TIME,spotify:track:5QvBXUm5MglLJ3iBfTX2Wo,,,,,,
Bryson Tiller,Get Mine (feat. Young Thug),Get Mine (feat. Young Thug),spotify:track:4sxLB4ibrNZko2Y9wHfwZ3,,,,,,
Quality Control,Quality Control: Control The Streets Volume 2,100 Racks (Offset feat. Playboi Carti),spotify:track:4T2dHb8XBYHlVj7Dyo1cW9,,,,,,
9tails,Rest,Rest,spotify:track:0JPrqwpdL3pvFIKaxzaHUS,,,,,,
Lil Uzi Vert,Eternal Atake,Lo Mein,spotify:track:6CUP2khYzdphXebxVTfPE3,,,,,,
Aminé,ONEPOINTFIVE,REEL IT IN,spotify:track:5qHirGR7M9tdm6C17DlzSY,,,,,,
